episode:175; total step:220; total_reword:83.883 loss:0.00884; actual_eps:0.91; ave_Q:37.1694450378418
episode:176; total step:220; total_reword:120.592 loss:0.00880; actual_eps:0.91; ave_Q:42.455223083496094
episode:177; total step:220; total_reword:55.422 loss:0.00852; actual_eps:0.91; ave_Q:22.434608459472656
episode:178; total step:220; total_reword:92.490 loss:0.00932; actual_eps:0.91; ave_Q:39.77736282348633
episode:179; total step:220; total_reword:114.514 loss:0.00817; actual_eps:0.91; ave_Q:40.623043060302734
episode:180; total step:220; total_reword:105.369 loss:0.00923; actual_eps:0.91; ave_Q:42.115787506103516
episode:181; total step:220; total_reword:123.820 loss:0.00860; actual_eps:0.91; ave_Q:35.9731559753418
episode:182; total step:220; total_reword:87.594 loss:0.00861; actual_eps:0.91; ave_Q:38.113834381103516
episode:183; total step:220; total_reword:116.661 loss:0.00825; actual_eps:0.91; ave_Q:43.07974624633789
episode:184; total step:220; total_reword:101.760 loss:0.00873; actual_eps:0.91; ave_Q:39.341182708740234
episode:185; total step:220; total_reword:114.521 loss:0.00834; actual_eps:0.91; ave_Q:39.04203796386719
episode:186; total step:220; total_reword:109.838 loss:0.00793; actual_eps:0.91; ave_Q:41.8199348449707
episode:187; total step:220; total_reword:35.557 loss:0.00807; actual_eps:0.91; ave_Q:15.792974472045898
episode:188; total step:220; total_reword:101.801 loss:0.00832; actual_eps:0.91; ave_Q:38.26502990722656
episode:189; total step:220; total_reword:102.488 loss:0.00810; actual_eps:0.91; ave_Q:37.38972091674805
episode:190; total step:220; total_reword:103.572 loss:0.00810; actual_eps:0.91; ave_Q:37.76625061035156
episode:191; total step:220; total_reword:114.180 loss:0.00841; actual_eps:0.91; ave_Q:40.025001525878906
episode:192; total step:220; total_reword:110.539 loss:0.00886; actual_eps:0.91; ave_Q:42.373958587646484
episode:193; total step:220; total_reword:129.635 loss:0.00841; actual_eps:0.91; ave_Q:44.267372131347656
episode:194; total step:220; total_reword:97.849 loss:0.00823; actual_eps:0.91; ave_Q:37.168636322021484
episode:195; total step:220; total_reword:111.346 loss:0.00813; actual_eps:0.91; ave_Q:41.026153564453125
episode:196; total step:220; total_reword:109.634 loss:0.00827; actual_eps:0.91; ave_Q:37.90728759765625
episode:197; total step:220; total_reword:132.823 loss:0.00753; actual_eps:0.91; ave_Q:44.98361587524414
episode:198; total step:220; total_reword:106.012 loss:0.00908; actual_eps:0.90; ave_Q:35.073387145996094
episode:199; total step:220; total_reword:106.537 loss:0.00814; actual_eps:0.90; ave_Q:32.97400665283203
episode:200; total step:220; total_reword:83.681 loss:0.00782; actual_eps:0.90; ave_Q:32.7709846496582
episode:201; total step:220; total_reword:132.914 loss:0.00855; actual_eps:0.90; ave_Q:41.45369338989258
episode:202; total step:220; total_reword:53.269 loss:0.00779; actual_eps:0.90; ave_Q:21.8934326171875
episode:203; total step:220; total_reword:128.547 loss:0.00770; actual_eps:0.90; ave_Q:44.990234375
episode:204; total step:220; total_reword:106.379 loss:0.00806; actual_eps:0.90; ave_Q:37.85377883911133
episode:205; total step:220; total_reword:96.966 loss:0.00827; actual_eps:0.90; ave_Q:35.922279357910156
episode:206; total step:220; total_reword:145.913 loss:0.00862; actual_eps:0.90; ave_Q:48.95531463623047
episode:207; total step:220; total_reword:116.241 loss:0.00887; actual_eps:0.90; ave_Q:40.675865173339844
episode:208; total step:220; total_reword:52.311 loss:0.00851; actual_eps:0.90; ave_Q:22.884475708007812
episode:209; total step:220; total_reword:90.052 loss:0.00799; actual_eps:0.90; ave_Q:36.77214813232422
episode:210; total step:220; total_reword:95.355 loss:0.00780; actual_eps:0.90; ave_Q:36.19414138793945
episode:211; total step:220; total_reword:122.393 loss:0.00833; actual_eps:0.90; ave_Q:43.07655715942383
episode:212; total step:220; total_reword:98.171 loss:0.00735; actual_eps:0.90; ave_Q:42.091156005859375
episode:213; total step:220; total_reword:108.085 loss:0.00807; actual_eps:0.90; ave_Q:39.438419342041016
episode:214; total step:220; total_reword:106.052 loss:0.00845; actual_eps:0.90; ave_Q:42.566505432128906
episode:215; total step:220; total_reword:111.581 loss:0.00783; actual_eps:0.90; ave_Q:43.213340759277344
episode:216; total step:220; total_reword:138.349 loss:0.00813; actual_eps:0.90; ave_Q:46.0782585144043
episode:217; total step:220; total_reword:109.908 loss:0.00772; actual_eps:0.90; ave_Q:37.23408889770508
episode:218; total step:220; total_reword:97.032 loss:0.00828; actual_eps:0.90; ave_Q:35.27425003051758
episode:219; total step:220; total_reword:113.119 loss:0.00835; actual_eps:0.90; ave_Q:43.59231185913086
episode:220; total step:220; total_reword:87.441 loss:0.00834; actual_eps:0.90; ave_Q:35.952415466308594
episode:221; total step:220; total_reword:133.468 loss:0.00776; actual_eps:0.89; ave_Q:41.41705322265625
episode:222; total step:220; total_reword:68.839 loss:0.00848; actual_eps:0.89; ave_Q:28.626113891601562
episode:223; total step:220; total_reword:133.219 loss:0.00845; actual_eps:0.89; ave_Q:43.95770263671875
episode:224; total step:220; total_reword:109.839 loss:0.00782; actual_eps:0.89; ave_Q:40.80482482910156
episode:225; total step:220; total_reword:124.679 loss:0.00835; actual_eps:0.89; ave_Q:44.105770111083984
episode:226; total step:220; total_reword:88.826 loss:0.00754; actual_eps:0.89; ave_Q:34.537906646728516
episode:227; total step:220; total_reword:101.846 loss:0.00791; actual_eps:0.89; ave_Q:38.534019470214844
episode:228; total step:220; total_reword:65.119 loss:0.00901; actual_eps:0.89; ave_Q:31.51801109313965
episode:229; total step:220; total_reword:109.404 loss:0.00831; actual_eps:0.89; ave_Q:36.368492126464844
episode:230; total step:220; total_reword:132.644 loss:0.00794; actual_eps:0.89; ave_Q:44.388893127441406
episode:231; total step:220; total_reword:93.445 loss:0.00814; actual_eps:0.89; ave_Q:36.827796936035156
episode:232; total step:220; total_reword:99.740 loss:0.00832; actual_eps:0.89; ave_Q:37.63534164428711
episode:233; total step:220; total_reword:96.920 loss:0.00807; actual_eps:0.89; ave_Q:36.214881896972656
episode:234; total step:220; total_reword:134.747 loss:0.00870; actual_eps:0.89; ave_Q:42.898284912109375
episode:235; total step:220; total_reword:85.420 loss:0.00825; actual_eps:0.89; ave_Q:38.61495590209961
episode:236; total step:220; total_reword:87.052 loss:0.00805; actual_eps:0.89; ave_Q:28.456348419189453
episode:237; total step:220; total_reword:48.786 loss:0.00812; actual_eps:0.89; ave_Q:29.66349220275879
episode:238; total step:220; total_reword:115.051 loss:0.00811; actual_eps:0.89; ave_Q:41.76801681518555
episode:239; total step:220; total_reword:111.702 loss:0.00841; actual_eps:0.89; ave_Q:36.849037170410156
episode:240; total step:220; total_reword:27.358 loss:0.00820; actual_eps:0.89; ave_Q:13.336984634399414
episode:241; total step:220; total_reword:57.487 loss:0.00824; actual_eps:0.89; ave_Q:25.61236000061035
episode:242; total step:220; total_reword:91.247 loss:0.00880; actual_eps:0.89; ave_Q:36.65230178833008
episode:243; total step:220; total_reword:129.689 loss:0.00802; actual_eps:0.89; ave_Q:44.43734359741211
episode:244; total step:220; total_reword:111.369 loss:0.00858; actual_eps:0.88; ave_Q:37.930179595947266
episode:245; total step:220; total_reword:105.205 loss:0.00824; actual_eps:0.88; ave_Q:39.66988754272461
episode:246; total step:220; total_reword:127.047 loss:0.00911; actual_eps:0.88; ave_Q:43.66545104980469
episode:247; total step:220; total_reword:114.145 loss:0.00905; actual_eps:0.88; ave_Q:37.21186447143555
episode:248; total step:220; total_reword:92.943 loss:0.00927; actual_eps:0.88; ave_Q:26.731260299682617
episode:249; total step:220; total_reword:92.133 loss:0.00902; actual_eps:0.88; ave_Q:38.54438400268555
episode:250; total step:220; total_reword:134.120 loss:0.00847; actual_eps:0.88; ave_Q:44.13755416870117
episode:251; total step:220; total_reword:132.388 loss:0.00830; actual_eps:0.88; ave_Q:47.23017120361328
episode:252; total step:220; total_reword:109.992 loss:0.00831; actual_eps:0.88; ave_Q:37.098114013671875
episode:253; total step:220; total_reword:91.248 loss:0.00877; actual_eps:0.88; ave_Q:37.37657928466797
episode:254; total step:220; total_reword:101.389 loss:0.00827; actual_eps:0.88; ave_Q:40.22951126098633
episode:255; total step:220; total_reword:141.289 loss:0.00813; actual_eps:0.88; ave_Q:47.25010299682617
